institution,person_a,role_a,person_b,role_b,start,end,approx_years,source_ids,interpretation
Royal Shakespeare Company,Trevor Nunn,Artistic Director,Terry Hands,Artistic Director / joint,1978,1986,9,RSC-HIST;RSC-HIST,institutional overlap only
Royal Shakespeare Company,Terry Hands,Artistic Director / joint,Adrian Noble,Artistic Director,1991,1991,1,RSC-HIST;RSC-HIST,institutional overlap only
Royal Shakespeare Company,Adrian Noble,Artistic Director,Michael Boyd,Artistic Director,2002,2003,2,RSC-HIST;RSC-HIST,institutional overlap only
Royal Shakespeare Company,Michael Boyd,Artistic Director,Gregory Doran,Artistic Director,2012,2012,1,RSC-HIST;RSC-HIST,institutional overlap only
Royal Shakespeare Company,Daniel Evans,Co-Artistic Director,Tamara Harvey,Co-Artistic Director,2023,2026,4,RSC-HIST;RSC-HIST,institutional overlap only
Royal Shakespeare Company,Daniel Evans,Co-Artistic Director,Andrew Leveson,Executive Director,2024,2026,3,RSC-HIST;RSC-HIST,institutional overlap only
Royal Shakespeare Company,Tamara Harvey,Co-Artistic Director,Andrew Leveson,Executive Director,2024,2026,3,RSC-HIST;RSC-HIST,institutional overlap only
National Theatre,Laurence Olivier,Director,Peter Hall,Director,1973,1973,1,NT-HIST;NT-HIST,institutional overlap only
National Theatre,Peter Hall,Director,Richard Eyre,Director,1988,1988,1,NT-HIST;NT-HIST,institutional overlap only
National Theatre,Richard Eyre,Director,Trevor Nunn,Director,1997,1997,1,NT-HIST;NT-HIST,institutional overlap only
National Theatre,Trevor Nunn,Director,Nicholas Hytner,Director,2003,2003,1,NT-HIST;NT-HIST,institutional overlap only
National Theatre,Nicholas Hytner,Director,Rufus Norris,Director,2015,2015,1,NT-HIST;NT-HIST,institutional overlap only
National Theatre,Rufus Norris,Director,Indhu Rubasingham,Director / Joint Chief Executive,2025,2025,1,NT-HIST;NT-HIST,institutional overlap only
Royal Ballet and Opera,David Webster,General Administrator,John Tooley,General Administrator,1970,1970,1,RBO-HIST;RBO-HIST,institutional overlap only
Royal Ballet and Opera,David Webster,General Administrator,Georg Solti,"Music Director, Royal Opera",1961,1970,10,RBO-HIST;RBO-HIST,institutional overlap only
Royal Ballet and Opera,John Tooley,General Administrator,Jeremy Isaacs,General Director,1988,1988,1,RBO-HIST;RBO-HIST,institutional overlap only
Royal Ballet and Opera,John Tooley,General Administrator,Georg Solti,"Music Director, Royal Opera",1970,1971,2,RBO-HIST;RBO-HIST,institutional overlap only
Royal Ballet and Opera,John Tooley,General Administrator,Colin Davis,"Music Director, Royal Opera",1971,1987,17,RBO-HIST;RBO-HIST,institutional overlap only
Royal Ballet and Opera,John Tooley,General Administrator,Bernard Haitink,"Music Director, Royal Opera",1987,1988,2,RBO-HIST;RBO-HIST,institutional overlap only
Royal Ballet and Opera,John Tooley,General Administrator,Paul Findlay,"Director, Royal Opera",1987,1988,2,RBO-HIST;RBO-HIST,institutional overlap only
Royal Ballet and Opera,Jeremy Isaacs,General Director,Bernard Haitink,"Music Director, Royal Opera",1988,1997,10,RBO-HIST;RBO-HIST,institutional overlap only
Royal Ballet and Opera,Jeremy Isaacs,General Director,Paul Findlay,"Director, Royal Opera",1988,1993,6,RBO-HIST;RBO-HIST,institutional overlap only
Royal Ballet and Opera,Tony Hall,Chief Executive,Alex Beard,Chief Executive,2013,2013,1,RBO-HIST;RBO-HIST,institutional overlap only
Royal Ballet and Opera,Tony Hall,Chief Executive,Bernard Haitink,"Music Director, Royal Opera",2001,2002,2,RBO-HIST;RBO-HIST,institutional overlap only
Royal Ballet and Opera,Tony Hall,Chief Executive,Antonio Pappano,"Music Director, Royal Opera",2002,2013,12,RBO-HIST;RBO-HIST,institutional overlap only
Royal Ballet and Opera,Alex Beard,Chief Executive,Antonio Pappano,"Music Director, Royal Opera",2013,2024,12,RBO-HIST;RBO-HIST,institutional overlap only
Royal Ballet and Opera,Alex Beard,Chief Executive,Jakub Hrůša,"Music Director, Royal Opera",2025,2026,2,RBO-HIST;RBO-HIST,institutional overlap only
Royal Ballet and Opera,Alex Beard,Chief Executive,Oliver Mears,Director of Opera,2017,2026,10,RBO-HIST;RBO-HIST,institutional overlap only
Royal Ballet and Opera,Georg Solti,"Music Director, Royal Opera",Colin Davis,"Music Director, Royal Opera",1971,1971,1,RBO-HIST;RBO-HIST,institutional overlap only
Royal Ballet and Opera,Colin Davis,"Music Director, Royal Opera",Bernard Haitink,"Music Director, Royal Opera",1987,1987,1,RBO-HIST;RBO-HIST,institutional overlap only
Royal Ballet and Opera,Colin Davis,"Music Director, Royal Opera",Paul Findlay,"Director, Royal Opera",1987,1987,1,RBO-HIST;RBO-HIST,institutional overlap only
Royal Ballet and Opera,Bernard Haitink,"Music Director, Royal Opera",Antonio Pappano,"Music Director, Royal Opera",2002,2002,1,RBO-HIST;RBO-HIST,institutional overlap only
Royal Ballet and Opera,Bernard Haitink,"Music Director, Royal Opera",Paul Findlay,"Director, Royal Opera",1987,1993,7,RBO-HIST;RBO-HIST,institutional overlap only
Royal Ballet and Opera,Antonio Pappano,"Music Director, Royal Opera",Oliver Mears,Director of Opera,2017,2024,8,RBO-HIST;RBO-HIST,institutional overlap only
Royal Ballet and Opera,Jakub Hrůša,"Music Director, Royal Opera",Oliver Mears,Director of Opera,2025,2026,2,RBO-HIST;RBO-HIST,institutional overlap only
