data_item,original_description,normalised_service,normalised_measure,start_period,end_period,form,row_number,column_number,mapping_status
RO5_cultrs_tot_exp,Total expenditure - Tourism,tourism,total_expenditure,201803,nan,RO5,140.0,3.0,exact
RO5_cultrs_sfc,"Sales, Fees and Charges - Tourism",tourism,sales_fees_charges,201803,nan,RO5,140.0,4.0,exact
RO5_cultrs_oth_inc,Other income - Tourism,tourism,other_income,201803,nan,RO5,140.0,5.0,exact
RO5_cultrs_tot_inc,Total income - Tourism,tourism,total_income,201803,nan,RO5,140.0,6.0,exact
RO5_cultrs_net_cur_exp,NET current expenditure - Tourism,tourism,net_current_expenditure,201803,nan,RO5,140.0,7.0,exact
RO5_cullib_empl,Employees - Library service,library_service,employees,201803,nan,RO5,150.0,1.0,exact
RO5_cullib_run_exp,Running expenses - Library service,library_service,running_expenses,201803,nan,RO5,150.0,2.0,exact
RO5_cullib_tot_exp,Total expenditure - Library service,library_service,total_expenditure,201803,nan,RO5,150.0,3.0,exact
RO5_cullib_sfc,"Sales, Fees and Charges - Library service",library_service,sales_fees_charges,201803,nan,RO5,150.0,4.0,exact
RO5_cullib_oth_inc,Other income - Library service,library_service,other_income,201803,nan,RO5,150.0,5.0,exact
RO5_cullib_tot_inc,Total income - Library service,library_service,total_income,201803,nan,RO5,150.0,6.0,exact
RO5_cullib_net_cur_exp,NET current expenditure - Library service,library_service,net_current_expenditure,201803,nan,RO5,150.0,7.0,exact
RO5_cultot_empl,Employees - TOTAL CULTURAL AND RELATED SERVICES,total_cultural_related_services,employees,201803,nan,RO5,190.0,1.0,exact
RO5_cultot_run_exp,Running expenses - TOTAL CULTURAL AND RELATED SERVICES,total_cultural_related_services,running_expenses,201803,nan,RO5,190.0,2.0,exact
RO5_cultot_tot_exp,Total expenditure - TOTAL CULTURAL AND RELATED SERVICES,total_cultural_related_services,total_expenditure,201803,nan,RO5,190.0,3.0,exact
RO5_cultot_sfc,"Sales, Fees and Charges - TOTAL CULTURAL AND RELATED SERVICES",total_cultural_related_services,sales_fees_charges,201803,nan,RO5,190.0,4.0,exact
RO5_cultot_oth_inc,Other income - TOTAL CULTURAL AND RELATED SERVICES,total_cultural_related_services,other_income,201803,nan,RO5,190.0,5.0,exact
RO5_cultot_tot_inc,Total income - TOTAL CULTURAL AND RELATED SERVICES,total_cultural_related_services,total_income,201803,nan,RO5,190.0,6.0,exact
RO5_cultot_net_cur_exp,NET current expenditure - TOTAL CULTURAL AND RELATED SERVICES,total_cultural_related_services,net_current_expenditure,201803,nan,RO5,190.0,7.0,exact
